"Title","ID","Thumbnail Image","Background Image","Sort Order","Author Image","About the Author","Instructor File","Student File","Slug","Short Description","Content Description","Author Name","Single Item","Category List","Type Plural","Type","Audience","Other Disciplines","Software","Skills","Distributed Content Filter (All)","Created date","Updated date","Owner","Primary Discipline"
"Feedback Frequency","0133e91b-1cc4-48c7-88de-a2823e3c4c6b","wix:image://v1/16741c_1ae4178746c746e4a526c577bc41d26a~mv2.png/Icon%20Feedback.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_4e3b082cd5804eb9b899029826f69ee7~mv2.jpg/Image%20by%20Celpax.jpg#originWidth=5457&originHeight=3638",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","Fei Du, PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign

Minjeong (MJ) Kim
PhD Student in Accountancy
Gies College of Business
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/e18baa_0557f7f23ef941c08384de7b7f9504a4.pdf/FeedbackFrequency.pdf",,"feedback-frequency","Will feedback frequency affect future performance?","Imagine you have been offered a deal from your auto insurer: If you install a mobile phone app that monitors and provides feedback on your driving, including on areas such as speeding, braking, and acceleration, and you keep the score above 70 (out of 100) over six months, you will receive an insurance premium discount. 

Are you willing to install the app and read the details about the performance from the app? Do you think feedback frequency will affect your future performance?","Minjeong (MJ) Kim & Fei Du","/content/mini-case-studies/feedback-frequency","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c",,,,,"/content/filter",2021-08-19T06:13:14Z,2021-08-25T08:05:25Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Recruiting","1506d067-13e4-40f2-8ba0-5e0fabc9741b","wix:image://v1/16741c_3709a9aad235432a85d6b7f7c850a71d~mv2.png/Icon%20Team%20Meeting.png#originWidth=8339&originHeight=8339","wix:image://v1/e18baa_f4ac515c47a74bd1a43c751b33278e29~mv2.jpg/recruiting.jpg#originWidth=4000&originHeight=2649",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/ba2a2d_e71897f696734a1ebe5fb583b596e3fd.pdf/Recruiting.pdf",,"recruiting","Which is a better way of recruiting for your organization?","Imagine recruiting for your student clubs. There are two ways of recruiting new members: some are referred into the club by existing members, and others come through the normal screening process without referral. Which is a better way of recruiting for your organization?","Fei Du","/content/mini-case-studies/recruiting","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c",,,,,"/content/filter",2021-08-19T06:13:14Z,2021-09-01T14:05:33Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Web Scraping using RPA","2119eba5-f949-4e72-887c-0e9af2de5cca","wix:image://v1/36e4c3_8762614e13dc4ebc823320951f17a992~mv2.png/scribbled-android-icon-on-white-background-SBI-300722222_edited.png#originWidth=1404&originHeight=1650","wix:image://v1/nsplsh_6a553956415a44474d7a73~mv2_d_2908_2776_s_4_2.jpg/Image%20by%20Joel%20Filipe.jpg#originWidth=2908&originHeight=2776",40,"wix:image://v1/c38fd4_3ffa2572ca2645e8acb7bd6d067504fa~mv2.jpg/kimendoz_edited.jpg#originWidth=680&originHeight=616","Assistant Professor of Accountancy and Grant Thornton LLP Faculty Fellowship and RC Evans Data Analytics Fellow","wix:document://v1/archives/c38fd4_8e89c268c27941169e659510967bd10c.zip/web-scraping-using-RPA-instructor-materials.zip","wix:document://v1/ugd/c38fd4_ee3a90b7ef6f4d9bb998ceab78f40eff.pdf/web-scraping-using-RPA-case.pdf","web-scraping-using-RPA","This case study teaches RPA by walking you through how to automate web scraping using UiPath.","Automation is quickly becoming a critically important part of the business landscape, and teaching RPA using UiPath is an easy way to add RPA into any business class. In this case, Professor Kim Mendoza uses the tool UiPath to help students explore robot process automation (RPA) by creating a bot that automatically scrapes information from the Internet. This case is optimized for easy adoption into your class with videos and instructor slides. The case has the following parts: a narrated screen shot video solution for instructor, a slide deck step-by-step solution for instructor, an overview document for instructor, and a case for students. 

Robot process automation in business, and automation in general, is not just a passing trend. Rather, there is too much to like about automation and too much money and time that RPA can save to think it will not become an integral part of business going forward. Be ready for this trend and help your students be ready by using this case.","Kim Mendoza","/content/case-studies/web-scraping-using-rpa","/content/case-studies","Case Studies","6e8508fb-8c77-4b76-bb06-e3d23cb57112","[""Student"",""Faculty""]","[""Robotic Process Automation""]","[""UiPath""]","[""Robotic Process Automation""]","/content/filter",2021-11-18T18:23:41Z,2021-12-16T16:50:40Z,"36e4c3a3-a323-460f-abe3-52a69eb8d2c3","[""Robotic Process Automation""]"
"Data Analytics Foundations for Accountancy I","27a24058-5abb-44fa-9aee-c94a109c9185","wix:image://v1/16741c_8744eb03ff5244da97d346c6c602c704~mv2.png/Icon%20Computer%20Line%20Graph.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_6e646a61324c4a3449634d~mv2_d_3000_2000_s_2.jpg/Image%20by%20h%20heyerlein.jpg#originWidth=3000&originHeight=2000",,"wix:image://v1/c38fd4_b3004d9d02654f8bbfa1f36702ef1c58~mv2.jpg/bigdog-L_edited.jpg#originWidth=445&originHeight=412","Associate Dean for Innovation and Chief Disruption Officer and Professor of Accountancy and Arthur Andersen Faculty Fellow","wix:document://v1/archives/ba2a2d_00fd4d046d4248b28780ea48de1e9916.zip/modified.zip",,"data-analytics-foundations-for-accountancy-i","Data Analytics Foundations for Accountancy I introduces students to the basic concepts needed to complete common data analytic tasks in accountancy and business in general.","Data Analytics Foundations for Accountancy I introduces students to the basic concepts needed to complete common data analytic tasks in accountancy and business in general. Students will learn to develop data analytic scripts by using the Python programming language and the standard data analytic Python modules, including Pandas, NumPy, SciPy, Matplotlib, and Seaborn.

Module #1: Foundations
Module #2: Introduction to Python
Module #3: Introduction to Python Programming
Module#4: Python Programming
Module #5: Introduction to Data Persistence
Module #6: Introduction to Data Analysis
Module #7: Introduction to Visualization
Module #8: Exploring Two-Dimensional Data","Robert Brunner","/content/courses/data-analytics-foundations-for-accountancy-i","/content/courses","Courses","ec0aa426-df38-479a-b61d-136ae2133bde","[""Faculty""]","[""Statistics"",""Accounting"",""Programming""]","[""Python""]","[""Python""]","/content/filter",2021-08-19T06:13:14Z,2022-01-11T22:59:09Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57","[""Accounting""]"
"Data Analytics Foundations for Accountancy II ","34f9f158-5f2b-48ad-a573-7d72707f0ebd","wix:image://v1/16741c_d0b384ad083244ab820089299889cd97~mv2.png/Icon%20Phone%20Graph%20Calc.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_5ac095887529406daab9c19e015e40f8~mv2.jpg/Image%20by%20Gradienta.jpg#originWidth=6000&originHeight=4000",,"wix:image://v1/c38fd4_b3004d9d02654f8bbfa1f36702ef1c58~mv2.jpg/bigdog-L_edited.jpg#originWidth=445&originHeight=412","Associate Dean for Innovation and Chief Disruption Officer and Professor of Accountancy and Arthur Andersen Faculty Fellow","wix:document://v1/archives/ba2a2d_4a31459b1f2843da91a2751105ce7e26.zip/modified-2.zip",,"data-analytics-foundations-for-accountancy-ii","Data Analytics Foundations for Accountancy II builds upon concepts introduced in the Data Analytics Foundations for Accountancy I to enable students to obtain, explore, and analyze richer and more complex data sets. ","Data Analytics Foundations for Accountancy II builds upon concepts introduced in the ﬁrst course to enable students to obtain, explore, and analyze richer and more complex data sets. Students will ﬁrst learn how explore and analyze multi-dimensional data sets, before learning how to obtain text data embedded within websites and how to analyze text data by using standard Python techniques and regular expressions. 

Module #1: Applied Data Analytics
Module #2: Introduction to Text Analytics
Module #3: Introduction to Data Persistence
Module #4: Introduction to Python and Databases
Module #5: Introduction to Probability
Module #6: Introduction to Time Series Data
Module #7: Introduction to Time Series Analysis
Module #8: Introduction to Density Estimation","Robert Brunner","/content/courses/data-analytics-foundations-for-accountancy-ii-","/content/courses","Courses","ec0aa426-df38-479a-b61d-136ae2133bde","[""Faculty""]","[""Statistics"",""Database"",""Accounting"",""Programming""]","[""Python""]","[""Python"",""SQL""]","/content/filter",2021-08-19T06:13:14Z,2022-01-11T22:59:13Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Second Course in Foundations of Data Analytics","36d8a32b-7fab-4e97-a3bd-665a48c5c254","wix:image://v1/16741c_8d686ad4841b4424a26964214c814d2d~mv2.png/Icon%20Search%20Data%20Graph.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_5970653973644f50645963~mv2_d_5472_3648_s_4_2.jpg/Image%20by%20Hunter%20Harritt.jpg#originWidth=5472&originHeight=3648",,"wix:image://v1/c38fd4_b3004d9d02654f8bbfa1f36702ef1c58~mv2.jpg/bigdog-L_edited.jpg#originWidth=445&originHeight=412","Associate Dean for Innovation and Chief Disruption Officer and Professor of Accountancy and Arthur Andersen Faculty Fellow","wix:document://v1/archives/ba2a2d_4c9546673d0742c3884c379742f50617.zip/570b-master.zip",,"second-course-in-foundations-of-data-analytics","The Second Course in Foundations of Data Analytics will build a practical foundation for machine learning by teaching students basic tools and techniques that can scale to large computational systems and massive data sets. ","The Second Course in Foundations of Data Analytics will build a practical foundation for machine learning by teaching students basic tools and techniques that can scale to large computational systems and massive data sets. Topics include algorithms, overfitting and regularization, clustering, anomaly detection, and more. Each module consists of multiple lessons, which each contain a video explaining the lesson content, external reading(s), and included course Jupyter notebooks. Each module also includes a quiz (or assessment) that tests basic mastery of the lesson contents, and a programming assignment that tests synthesis of the lesson contents.

Module #1: Introduction to Machine Learning
Module #2: Fundamental Algorithms
Module #3: Practical Concepts in Machine Learning
Module #4: Overfitting and Regularization
Module #5: Fundamental Probabilistic Algorithms
Module #6: Feature Engineering
Module #7: Introduction to Clustering
Module #8: Introduction to Anomaly Detection","Robert Brunner","/content/courses/second-course-in-foundations-of-data-analytics","/content/courses","Courses","ec0aa426-df38-479a-b61d-136ae2133bde",,,,,"/content/filter",2021-08-19T06:13:14Z,2022-01-11T22:59:15Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Database for Accountants","57ee8a4f-8ea6-4144-a94a-950ef1ea0d01","wix:image://v1/16741c_6270fd3059fe4ecebce702bbc490811e~mv2.png/Icon%20Server.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_4d35747a5a7446434f6673~mv2.jpg/Image%20by%20Taylor%20Vick.jpg#originWidth=3956&originHeight=2220",20,"wix:image://v1/e18baa_8ad332bce557421b80893f144f6e2f3c~mv2.jpg/Vic%20Anand.jpg#originWidth=680&originHeight=800","PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign","wix:document://v1/archives/e18baa_05b2fbf94a47418f97c8064f8e6cc022.zip/Database_Accountants.zip",,"database-for-accountants","In this case, you will retrieve, aggregate, and report financial statement line items created from transaction-level data.","The purpose of this case is to introduce accounting students to databases. Practicing accountants interact with data from databases whether they realize it or not. For example, transaction-level data captured in accounting systems is stored in databases. Auditors and preparers of financial statements should therefore understand how accounting data is structured and stored in databases. 

In this case, you will assume the role of a preparer of financial statements. You will create a database to store transaction-level data for a fictitious company and then compute some common accounting metrics like revenue and cost of goods sold. Within the database, you will create separate tables to store customer information and customers’ orders. You will also create a table to store information about the company’s products. Finally, you will retrieve data from these tables, merge that data, and transform it into useful numbers like revenue or cost of goods sold. ","Vic Anand","/content/case-studies/database-for-accountants","/content/case-studies","Case Studies","6e8508fb-8c77-4b76-bb06-e3d23cb57112","[""Student""]",,,,"/content/filter",2021-08-19T06:13:14Z,2021-12-16T16:50:45Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Innovation Investment","59de60bc-8cc0-453e-a140-cf7c0cdc145c","wix:image://v1/16741c_ef7d9d014b234dceaad75c2cf4cde979~mv2.png/Icon%20Manager.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_c6f6d3a084cf4018a1c4f6445dec1fb1~mv2.jpg/Image%20by%20Maxim%20Hopman.jpg#originWidth=6240&originHeight=4160",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/ba2a2d_c5bdded4df994a9fb6c9e195d26296fa.pdf/InnovationInvestment.pdf",,"innovation-investment","Why do scientists care about internal resource allocation decisions including innovation budgeting?","Kodak had a virtual monopoly on the United States photography market, and it made money on every step of the photographic process. If you wanted to photograph your child’s birthday party, you would likely be using a Kodak Instamatic, Kodak film, and Kodak flash cubes. You would have it processed either at the corner drugstore or mail the film to Kodak and get back prints made with Kodak chemistry on Kodak paper. It was an excellent business model. 

The first digital camera was created by Steven Sassoon in 1973. The basis for the US patent was filled in 1977 and issued in 1978. In 1975, this Kodak employee invented the digital camera. His bosses at Kodak never let it see the light of day. 

Why are managerial decision-making mechanisms important in determining innovation outcomes in the short-term and competitive advantages of firms in the long-term? Why do scientists and engineers care about internal resource allocation decisions including innovation budgeting?","Fei Du","/content/mini-case-studies/innovation-investment","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c",,,,,"/content/filter",2021-08-19T06:13:14Z,2021-08-25T08:05:57Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Segment of the Moment","5bcf85dc-c8dd-4642-855e-ca74318bfa00","wix:image://v1/16741c_78be152b0b264b73bf99ce1e5f63cd26~mv2.png/Icon%20Pyramid%20%25_edited.png#originWidth=3000&originHeight=3000","wix:image://v1/2b79ee72aa064b0f8af9f11562e24885.jpg/Custom%20Orders.jpg#originWidth=4928&originHeight=3264",10,"wix:image://v1/e18baa_92c048235d8f42a2be4311f40c14dc56~mv2.jpg/Ramanath%20Subramanyam.jpg#originWidth=680&originHeight=800","PhD
Associate Professor of Business Administration
William N. Scheffel Faculty Scholar, Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign","wix:document://v1/archives/e18baa_49df5923371648718dca862bc15be3d8.zip/Segment_Moment.zip",,"segment-of-the-moment","This case study will help you understand the process of creating customer segments from a sales transaction data set. ","One of the important data analytics tasks that a marketing firm/specialists will undertake is performing a customer segmentation analysis. The goal of customer segmentation is to divide the customer base into groups such that each group consists of similar members and there are distinct groups that together comprise the customer database. 

Essentially, you are trying to understand who is buying your products and is there anything common among some subsets of your customers. If you find twp or more subsets that differ from each other but seem to show some common behavior within their own groups, you are, somewhat, arriving at customer segments. By going through this case and the accompanying code, you will be taking a first pass at performing a customer segmentation task.","Ram Subramanyam","/content/case-studies/segment-of-the-moment","/content/case-studies","Case Studies","6e8508fb-8c77-4b76-bb06-e3d23cb57112",,,,,"/content/filter",2021-08-19T06:13:14Z,2021-12-16T16:50:46Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Ethics Sample 1","5bef853c-a429-46e8-9142-7a42972c313b",,"wix:image://v1/496c3b27b21b42258436f5e1861ce01d.jpg/Social%20network%20concept.jpg#originWidth=1920&originHeight=1230",,,"Test Author",,,"ethics-sample-1","This is a sample item for the ethics module. Text will be replaced in the future.","These are examples of a phenomenon called emotion contagion. Emotion contagion is a process by which emotions can spread between people and among groups of people. Individuals tend to find that they feel and express emotions similar to those of other people in immediate interactions. The presence and effects of emotion contagion have been consistently replicated in laboratory research1.

In 2012, data scientists at Facebook and Cornell University partnered to explore the question of whether emotion contagion could pass from person to person through a technological platform, like Facebook. The goal of the study was to expand what researchers knew about emotion contagion in face-to-face environments to the context of digital platforms2.

For the study, the researchers conducted an experiment in which they differentially changed the main news feed for approximately 700k users. Specifically, the researchers selected a control group, whose news feed was unaltered. They then created two other groups: one group received posts in their news feed with reduced positive content, the other group received posts in their news feed with reduced negative content. The data showed that users in the “reduced positive words” group ended up posting fewer positive words themselves, and those in the “reduced negative words” group posted fewer negative words in their own subsequent posts. They also found evidence of a “withdrawal” effect, such that users exposed to less emotional content of either valence were less likely to post at all after this exposure. The effect size for this research was quite small (.0001) although the findings were statistically significant3.

Based on this data, the authors concluded that emotion contagion could spread through online platforms, in addition to spreading in face-to-face contexts. An arguably valuable and helpful finding given the prevalence of virtual communication and social media use.

Not long after the paper was published, consumer anger increased4. Media outlets reported the findings, highlighting the fact that users were not aware that they were part of the experiment.","Test Author 1 ","/content/ethics/ethics-sample-1","/content/ethics","Ethics","c8124555-d172-48c9-bdc2-b8399e44d6eb","[""Faculty"",""Student""]",,,,"/content/filter",2022-01-08T02:26:57Z,2022-01-08T02:46:52Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
